bachelor_percentage,mca_percentage,backlogs,communication_score,aptitude_score,coding_skills,internship_done,projects_done,placed
76.0,79.7,0,6.2,7.6,9.0,1,3,1
68.3,73.1,0,6.1,8.6,6.8,1,4,1
77.8,85.2,0,6.7,7.3,7.0,1,3,1
88.3,95.5,4,10.0,9.1,9.1,1,6,1
67.2,62.3,3,7.7,6.7,7.7,1,5,0
67.2,64.5,1,8.0,7.9,7.3,1,2,1
89.0,93.5,2,9.6,10.0,9.0,0,1,1
79.2,83.8,1,6.8,7.4,8.0,1,5,1
64.4,68.9,0,5.9,5.9,6.6,0,3,1
76.5,91.5,0,8.1,8.7,10.0,1,5,1
64.4,69.3,1,5.2,7.1,7.3,1,1,1
64.4,72.1,1,7.2,8.3,7.6,1,3,1
72.9,79.7,2,7.1,7.9,9.0,0,3,0
47.0,52.3,1,4.3,4.3,5.5,0,3,1
49.3,49.7,0,5.6,5.5,4.7,0,2,0
63.3,69.0,0,6.8,7.4,6.7,0,1,0
57.8,56.0,2,5.4,6.6,5.5,0,4,1
73.8,74.6,0,8.5,7.9,7.4,1,1,1
59.1,58.7,0,4.8,7.0,6.6,1,7,1
53.1,55.5,0,5.9,6.5,5.6,0,2,0
87.6,100.0,0,9.4,10.0,10.0,0,3,1
67.3,60.0,1,6.4,7.4,5.9,1,3,0
70.8,76.2,0,7.4,6.9,7.7,1,6,1
52.9,46.8,1,4.0,5.4,2.7,1,2,1
63.5,63.1,1,7.3,7.6,7.2,1,1,1
71.3,78.8,0,6.9,6.3,8.2,1,5,1
56.2,58.5,3,5.1,6.0,6.8,1,2,0
74.5,71.1,2,8.5,7.1,4.2,1,6,1
62.8,61.2,2,5.6,6.3,8.2,0,3,0
66.5,71.9,0,5.2,7.9,7.1,1,4,1
62.8,61.1,1,4.7,6.5,7.2,0,2,0
92.2,95.3,0,9.8,9.3,8.5,1,0,1
69.8,72.1,0,5.7,5.6,7.8,0,3,0
57.3,56.0,0,7.5,6.5,4.6,1,5,1
